fasttodd_after_T_count,fasttodd_ancilla_count,fasttodd_time
767,512,25529.446761846542
767,499,23312.725545167923
767,502,23858.91642665863
765,498,23234.825204133987
767,508,25389.622575998306
767,497,23133.56758236885
767,497,23205.16271185875
767,514,25890.45464158058
767,503,24029.722667217255
765,495,22729.88585948944
767,498,23490.6578271389
765,506,24827.764392375946
767,500,23841.247929096222
767,502,23992.884792804718
763,493,22875.089522123337
767,498,23368.966604471207
767,495,22874.955706357956
765,509,25198.593519449234
767,505,24855.11883878708
763,501,23620.71688604355
767,497,23294.410192728043
767,505,24804.849365711212
765,501,24152.681453227997
765,506,24590.597046613693
765,503,24080.728664159775
765,506,24638.834944963455
765,502,23649.079599142075
765,502,23662.218871831894
765,507,24740.179933786392
765,498,22966.64350128174
767,502,24354.854950666428
765,502,24016.254060983658
767,512,25581.12951731682
767,509,25295.171008825302
765,499,23081.26504421234
767,506,24993.68173122406
767,501,23823.04949450493
765,503,23858.831982135773
767,500,23766.927947044373
765,501,23882.098552703857
767,503,23908.643915891647
765,502,23996.387713193893
767,499,23581.71040558815
767,503,24093.786966085434
767,501,23731.35572719574
765,502,23466.70085787773
767,503,23828.612475395203
765,497,23209.640579223633
765,506,24803.62989425659
767,505,24574.399586439133
767,513,25999.425887346268
767,510,25237.69455766678
767,498,23234.60844063759
767,500,23663.640859365463
767,506,24696.42827153206
767,508,25112.032819509506
767,504,24699.429797649384
767,514,25867.142431259155
767,507,24973.865991592407
761,492,22284.817108631134
767,503,24090.33713698387
765,496,22875.338131189346
767,509,25199.87394475937
767,499,23485.2264046669
767,501,23594.530940532684
765,497,23354.270253181458
765,498,23050.07777786255
767,508,25064.860826969147
765,505,24247.055582523346
765,508,24938.507970809937
767,499,23519.874825000763
765,505,24628.97020506859
767,505,24502.811606884003
767,510,25358.94452404976
767,506,24955.56658411026
767,510,25547.35428094864
767,502,23991.74043059349
763,508,25160.89406466484
765,504,24503.550745487213
767,500,23572.496774196625
767,507,24718.327597379684
765,506,24809.33999633789
767,503,24161.402812957764
767,501,23736.20357942581
765,496,23271.94435095787
765,507,24799.15203356743
767,499,23355.959455013275
767,499,23519.330598831177
767,494,22695.615910053253
767,507,24867.312925577164
767,506,24661.51823568344
767,508,25308.597956180573
765,507,24685.49001646042
767,501,23919.40791940689
767,501,23726.896453142166
767,505,24570.16744685173
763,499,19147.69864630699
767,506,20524.799835205078
767,504,20701.648399829865
767,498,19564.000845193863
